file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,53,css,98f4a2bc,AndresRiera,2025-01-15,16:01:31,-08:00,2025-01-15T16:01:31-08:00,0,8
style.css,54,css,b06b1fda,AndresRiera,2025-01-22,20:51:42,-08:00,2025-01-22T20:51:42-08:00,0,19
style.css,55,css,98f4a2bc,AndresRiera,2025-01-15,16:01:31,-08:00,2025-01-15T16:01:31-08:00,0,0
style.css,56,css,efd2f2d5,AndresRiera,2025-01-15,16:08:53,-08:00,2025-01-15T16:08:53-08:00,0,6
style.css,57,css,98f4a2bc,AndresRiera,2025-01-15,16:01:31,-08:00,2025-01-15T16:01:31-08:00,0,13
style.css,58,css,98f4a2bc,AndresRiera,2025-01-15,16:01:31,-08:00,2025-01-15T16:01:31-08:00,0,30
style.css,59,css,b06b1fda,AndresRiera,2025-01-22,20:51:42,-08:00,2025-01-22T20:51:42-08:00,0,17
style.css,60,css,98f4a2bc,AndresRiera,2025-01-15,16:01:31,-08:00,2025-01-15T16:01:31-08:00,0,0
style.css,61,css,efd2f2d5,AndresRiera,2025-01-15,16:08:53,-08:00,2025-01-15T16:08:53-08:00,0,16
style.css,62,css,e68f25d1,AndresRiera,2025-01-15,16:05:23,-08:00,2025-01-15T16:05:23-08:00,0,14
style.css,63,css,b06b1fda,AndresRiera,2025-01-22,20:51:42,-08:00,2025-01-22T20:51:42-08:00,0,11
style.css,64,css,98f4a2bc,AndresRiera,2025-01-15,16:01:31,-08:00,2025-01-15T16:01:31-08:00,0,0
style.css,65,css,98f4a2bc,AndresRiera,2025-01-15,16:01:31,-08:00,2025-01-15T16:01:31-08:00,0,7
style.css,66,css,98f4a2bc,AndresRiera,2025-01-15,16:01:31,-08:00,2025-01-15T16:01:31-08:00,0,19
style.css,67,css,b1277bf1,AndresRiera,2025-01-15,15:57:07,-08:00,2025-01-15T15:57:07-08:00,0,0
style.css,68,css,6ca5cead,AndresRiera,2025-01-15,16:10:51,-08:00,2025-01-15T16:10:51-08:00,0,0
style.css,69,css,e286c6ef,AndresRiera,2025-01-15,10:04:39,-08:00,2025-01-15T10:04:39-08:00,0,10
style.css,70,css,e286c6ef,AndresRiera,2025-01-15,10:04:39,-08:00,2025-01-15T10:04:39-08:00,0,13
style.css,71,css,5f916980,AndresRiera,2025-01-16,09:51:13,-08:00,2025-01-16T09:51:13-08:00,0,59
style.css,72,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,8
style.css,73,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,12
style.css,74,css,e286c6ef,AndresRiera,2025-01-15,10:04:39,-08:00,2025-01-15T10:04:39-08:00,0,0
style.css,75,css,7ba204a2,AndresRiera,2025-01-15,10:10:06,-08:00,2025-01-15T10:10:06-08:00,0,18
style.css,76,css,7ba204a2,AndresRiera,2025-01-15,10:10:06,-08:00,2025-01-15T10:10:06-08:00,0,13
style.css,77,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,27
style.css,78,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,16
style.css,79,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,10
style.css,80,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,22
style.css,81,css,7ba204a2,AndresRiera,2025-01-15,10:10:06,-08:00,2025-01-15T10:10:06-08:00,0,12
style.css,82,css,7ba204a2,AndresRiera,2025-01-15,10:10:06,-08:00,2025-01-15T10:10:06-08:00,0,0
style.css,83,css,7ba204a2,AndresRiera,2025-01-15,10:10:06,-08:00,2025-01-15T10:10:06-08:00,0,0
style.css,84,css,7ba204a2,AndresRiera,2025-01-15,10:10:06,-08:00,2025-01-15T10:10:06-08:00,0,21
style.css,85,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,9
style.css,86,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,18
style.css,87,css,7ba204a2,AndresRiera,2025-01-15,10:10:06,-08:00,2025-01-15T10:10:06-08:00,0,0
style.css,88,css,7ba204a2,AndresRiera,2025-01-15,10:10:06,-08:00,2025-01-15T10:10:06-08:00,0,0
style.css,89,css,7ba204a2,AndresRiera,2025-01-15,10:10:06,-08:00,2025-01-15T10:10:06-08:00,0,22
style.css,90,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,15
style.css,91,css,7ba204a2,AndresRiera,2025-01-15,10:10:06,-08:00,2025-01-15T10:10:06-08:00,0,12
style.css,92,css,7ba204a2,AndresRiera,2025-01-15,10:10:06,-08:00,2025-01-15T10:10:06-08:00,0,0
style.css,93,css,7ba204a2,AndresRiera,2025-01-15,10:10:06,-08:00,2025-01-15T10:10:06-08:00,0,0
style.css,94,css,7ba204a2,AndresRiera,2025-01-15,10:10:06,-08:00,2025-01-15T10:10:06-08:00,0,20
style.css,95,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,9
style.css,96,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,0
style.css,97,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,0
style.css,98,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,23
style.css,99,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,16
style.css,100,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,18
style.css,101,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,9
style.css,102,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,0
style.css,103,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,0
style.css,104,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,0
style.css,105,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,3
style.css,106,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,15
style.css,107,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,18
style.css,108,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,0
style.css,109,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,0
style.css,110,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,0
style.css,111,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,3
